category,zwid,events,points,league_id,pos,history,aid,zada,tname,tc,tbc,tbd,topen,fem,tid,reg,rank,name,flag
B,88750,1,20,54,21,2,88750,0,,00dd00,,,,,0,1,,"Ollie Taylor2195",gb
B,318606,1,20,54,21,3,318606,0,,00dd00,,,,,0,1,,"Martin Sarauw",dk
A,430793,1,20,54,8,,430793,0,SAKARI,001dff,46ff00,31b6fc,,,1187,1,,"Tyson Wieland",us
A,505474,2,20,54,8,1,505474,0,Innovation,ffffff,0073b7,ffffff,,,975,1,,"Max Bike INC",at
B,906104,1,20,54,21,,906104,0,,00dd00,,,,,0,1,,"Jimmy Eidersten",se
A,18289,1,19,54,10,,18289,0,TeamODZ,ff851b,111111,3c8dbc,,,7,1,,"Marc Lennox",ca
B,331176,1,19,54,24,,331176,0,Sz,f3f300,0073b7,f3f300,,,32,1,,"Janne Jakobsson",se
B,834154,1,19,54,24,,834154,0,AFC,ff0000,000000,cc0000,,,1405,1,,"Kevin Collins",us
B,59136,1,18,54,26,,59136,0,ZRG,1bc1f1,5b5b5b,1bc1f1,,,1942,1,,"Daniel Valverde ",de
A,66794,2,18,54,11,,66794,0,FinishStrong,ffffff,0073b7,ffffff,,,1740,1,,"Robby Parker",us
B,174902,1,18,54,26,,174902,0,"KSD Racing",ffffff,0073b7,ffffff,,,572,1,,"Kenny Kocarek",us
B,208201,1,18,54,26,,208201,0,,00dd00,,,,,0,1,,"Zachary Schuster",us
B,226723,1,18,54,26,,226723,0,,00dd00,,,,,0,1,,"Bartek Ksok",pl
A,486179,1,18,54,11,,486179,0,,00dd00,,,,,0,1,,"Haydn Maughan",gb
B,5126,1,17,54,30,,5126,0,,00dd00,,,,,0,1,,"Big Mig",gb
B,172776,2,17,54,30,,172776,0,BRT,ffffff,050505,ff8100,,,4,1,,"Pete &quot;The Monk&quot; Murray",gb-eng
B,324219,1,17,54,30,,324219,0,KHD,f6fa45,0a0a0a,f72508,,,2179,1,,"Josh Mahlandt KHD B1",us
C,912900,2,17,54,3,,912900,0,DIRT,29ec34,563c0f,df6a0d,,,2707,1,,"Ryan Nice",us
A,8566,1,16,54,13,,8566,0,ZHR,ff0000,03228c,03228c,,,1979,1,,"Greg Hagele",us
B,461615,1,16,54,33,,461615,0,,00dd00,,,,,0,1,,"jason mant ",gb
A,1130,1,15,54,14,2,1130,0,"Team R2",ff8700,000000,5cb0fc,,,41,1,,"Nico Wüstenfeld",de
B,5557,1,15,54,34,,5557,0,VC10,ffffff,ff0000,ffffff,,,2888,1,,"Ian Murray",
C,131725,1,15,54,4,1,131725,0,,00dd00,,,,,0,1,,"Andrew Gibson",gb
B,248557,1,15,54,34,,248557,0,,00dd00,,,,,0,1,,"Andy Barrie",
A,811341,2,15,54,14,2,811341,0,Vikings,c2c2c2,0073b7,ee6331,,,90,1,,"Maxim Golev [V]",no
B,812244,1,15,54,34,1,812244,0,,00dd00,,,,,0,1,,"Paul Quinn",gb
B,912866,1,15,54,34,,912866,0,"Team Poland",ffffff,dd4b39,ffffff,,,25,1,,"Jarek Lewandowski",pl
A,942020,1,15,54,14,,942020,0,Go4Graham,ffffff,0073b7,ffffff,,,3253,1,,"Seth Stingley",us
A,396968,1,14,54,17,3,396968,0,"Radteam Leoben",ffffff,8bd600,0190c8,,,1911,1,,"Werner Finger",at
B,762011,1,14,54,38,,762011,0,,00dd00,,,,,0,1,,"Martin Faucher",ca
A,4641,1,13,54,18,1,4641,0,"Team AM",ffffff,0073b7,ffffff,,,2065,1,,"Tom Burke",us
C,44323,1,13,54,5,1,44323,0,YKR,ffff00,0094ff,01b7a8,,,2394,1,,"Dash Hansom",gb
A,49551,1,13,54,18,1,49551,0,,00dd00,,,,,0,1,,"Dan Fleeman (DigDeepCoaching.com)",gb
A,173997,1,13,54,18,,173997,0,ZESP,000000,fabd00,ad1519,,,2146,1,,"Luisete ",es
B,244287,1,13,54,39,,244287,0,,00dd00,,,,,0,1,,"Jørgen Sollie",no
C,479318,1,13,54,5,2,479318,0,,00dd00,,,,,0,1,,"Mark Jenkins",us
A,493139,1,13,54,18,,493139,0,,00dd00,,,,,0,1,,"Jonas Pettersson",se
C,539301,1,13,54,5,3,539301,0,,00dd00,,,,,0,1,,"KAREN WAGNER",gb
D,696310,2,13,54,1,1,696310,0,Vixen/Fox,7409a6,f79d4b,ffffff,,,1940,1,,"Susan Shafer 8461",us
B,878973,1,13,54,39,3,878973,0,,00dd00,,,,,0,1,,"Andreas Jonsson3542",se
C,6483,1,12,54,8,1,6483,0,BRT,ffffff,050505,ff8100,,,4,1,,"Mike Preece",gb
B,137859,2,12,54,41,3,137859,0,,00dd00,,,,,0,1,,"Thomas Gadsden",gb
B,293471,1,12,54,41,,293471,0,HRC,ffffff,000000,fa3636,,,3165,1,,"Kim Laursen",dk
A,381742,1,12,54,22,,381742,0,BRT,ffffff,050505,ff8100,,,4,1,,"Zaren Templeton",gb
B,437795,1,12,54,41,,437795,0,Vikings,c2c2c2,0073b7,ee6331,,,90,1,,"Staale Elshaug",no
A,444573,1,12,54,22,2,444573,0,Sz,f3f300,0073b7,f3f300,,,32,1,,"Jesper Svensson",se
A,465473,1,12,54,22,3,465473,0,,00dd00,,,,,0,1,,"Matthew Wales",gb-eng
A,478668,1,12,54,22,,478668,0,,00dd00,,,,,0,1,,"Graham Spicer",us
C,536385,2,12,54,8,3,536385,0,,00dd00,,,,,0,1,,"Tony FlagorZHR (E)",us
B,745344,1,12,54,41,,745344,0,,00dd00,,,,,0,1,,"Pedro Errecart",ar
C,887983,1,12,54,8,3,887983,0,,00dd00,,,,,0,1,,"Gabriel Gregori",es
A,7528,1,11,54,26,3,7528,0,[DRAFT],ffffff,e60d2e,000000,,,1634,1,,"Jim McQuaide 🦊",us
B,53773,1,11,54,45,,53773,0," VEGAN ",ffffff,00a65a,0adb2c,,,1845,1,,"Joel Farber Ⓥ",ca
A,212081,1,11,54,26,3,212081,0,"CK Lunedi",ffffff,0073b7,ffffff,,,709,1,,"Rikard Runnberg",se
B,241181,1,11,54,45,,241181,0,Race3R,000000,2bc3f4,ffffff,,,791,1,,"Thomas Stocker",de
B,288521,1,11,54,45,,288521,0,,00dd00,,,,,0,1,,"Olav Opdal",no
A,301403,1,11,54,26,,301403,0,,00dd00,,,,,0,1,,"Yuri Hrycaj",ca
A,303556,2,11,54,26,,303556,0,,00dd00,,,,,0,1,,"Martijn Van B Team Maaskant",nl
C,363013,2,11,54,11,,363013,0,,00dd00,,,,,0,1,,"Andreas Sevilä Öberg",se
C,514218,1,11,54,11,,514218,0,,00dd00,,,,,0,1,,"Raoul Hollants",nl
