category,events,points,tname,tid,tc,tbc,tbd,name,flag,zwid,podiums
C,6,101,Vixen/Fox,1940,7409a6,f79d4b,ffffff,Ana Otiebrab &#129418;,es,392006,silver gold
C,4,98,BRT,4,ffffff,050505,ff8100,Adriette Myburgh,gb,841721,silver silver silver
C,4,92,Vixen/Fox,1940,7409a6,f79d4b,ffffff,Gemma Ankers,gb,37176,bronze
C,6,74,Vixen/Fox,1940,7409a6,f79d4b,ffffff,Kerri Thomas [VVixen] &#129418;,us,196575,bronze
C,4,72,Vixen/Fox,1940,7409a6,f79d4b,ffffff,Sarah  Sewatsky,us,548468,
C,3,63,PTz,1,ffffff,403d3a,e3680f,Katie Pothier,us,137233,
C,5,62,ZSUN,161,ffffff,0073b7,ffffff,A ZSUN Goat,ch,346294,silver bronze
C,2,62,Vixen/Fox,1940,7409a6,f79d4b,ffffff,Jo Ganley KoS,gb,344233,
C,6,57,Vixen/Fox,1940,7409a6,f79d4b,ffffff,Dawn Bardon,us,418392,gold gold bronze gold
C,3,51,BRT,4,ffffff,050505,ff8100,Sari Puumala BRT Hellcatz ,fi,604917,
C,3,51,ZSUN,161,ffffff,0073b7,ffffff,Wendy Habermann,ch,345083,bronze
C,5,50,We Showed Up,2216,080707,adff2f,ffffff,Dee Makepeace,ca,191036,bronze
C,2,46,,,,,,Lori Scott,us,441001,silver silver
C,4,44,Vixen/Fox,1940,7409a6,f79d4b,ffffff,Aerin Artessa [VVixen],us,931073,
C,1,42,REVO,2672,fc00e3,000000,fc00e3,Stacey Larkin [REVO] C1,gb,464549,gold
C,2,40,REVO,2672,fc00e3,000000,fc00e3,Karla Williams [REVO],gb,128441,
C,1,39,TeamODZ,7,ff851b,111111,3c8dbc,amy jentz (teamODZ),us,332600,silver
C,2,36,BRT,4,ffffff,050505,ff8100,Lynda Kellam,gb,38339,
C,5,34,Vixen/Fox,1940,7409a6,f79d4b,ffffff,L Hom ,us,10154,
C,3,32,BRT,4,ffffff,050505,ff8100,Sarah Wilson,us,204491,silver
C,1,29,,0,00dd00,,,Anne Sharratt,gb-eng,438619,
C,3,27,Vixen/Fox,1940,7409a6,f79d4b,ffffff,Christina Barbieri 9159,us,119174,
C,1,27,USMES,79,ffffff,0073b7,ffffff,Arleigh Burke*USMES*,us,121167,
C,2,26,ZSUN,161,ffffff,0073b7,ffffff,Julie Moran2174,us,485678,
C,2,26,,0,00dd00,,,Judy Goble (Silver Wheels Cycling Club),us,981946,
C,1,26,,,,,,Kelly Roloff,ca,299937,gold
C,2,25,,0,00dd00,,,Victoria Edwards,gb,1073499,gold
C,4,24,Vixen/Fox,1940,7409a6,f79d4b,ffffff,Sharon Longley,us,466958,
C,3,23,,0,00dd00,,,Liz Comlay,gb,198455,gold
C,1,23,BRT,4,ffffff,050505,ff8100,Maria Nilsson (KCK),se,586571,
C,1,23,REVO,2672,fc00e3,000000,fc00e3,Jude Williams [REVO]C2,gb,93210,
C,2,22,REVO,2672,fc00e3,000000,fc00e3,Kola Whitedog,us,84273,
C,1,21,,,,,,Patty Collins,us,660141,bronze
C,1,21,,0,00dd00,,,Heidi Gabriel,dk,385102,
C,1,19,REVO,2672,fc00e3,000000,fc00e3,Lindy Gray [REVO] C1,gb,57518,
C,1,19,#EFDV,3094,4d4149,ff68c6,060004,Helen Dutrieux,gb,276637,
C,3,17,ZSUN,161,ffffff,0073b7,ffffff,Courtnee Swaim,us,502830,
