category,events,points,tname,tid,tc,tbc,tbd
B,1,7,Vixen/Fox,1940,7409a6,f79d4b,ffffff
B,1,7,KTM UK,2374,ffffff,0073b7,ffffff
B,1,7,Equipe JZQc,2571,ffffff,003399,ffffff
B,1,7,DIRT,2707,29ec34,563c0f,df6a0d
B,1,7,Team Poland,25,ffffff,ff1800,ff0000
B,1,5,PinkFlamingo,1082,ffffff,0073b7,ffffff
B,1,4,MVCC,3159,ffffff,113399,de2525
B,1,3,ICC,2494,000000,f2a30b,210303
C,11,199,VC10,2888,ffffff,ff0000,ffffff
C,5,109,Sz,32,f3f300,0073b7,f3f300
C,8,108,BRT,4,ffffff,050505,ff8100
C,5,108,RuhrRiders,41,ff8700,000000,5cb0fc
C,3,61,Innovation,975,000000,52ff33,000000
C,2,53,Race3R,791,000000,2bc3f4,ffffff
C,2,42,Vision,9,ffffff,2ea9e0,000000
C,1,39,Team X,2,f5f7f6,111111,00a65a
C,1,37,TeamNL,2281,ffffff,ffa500,ffa500
C,1,29,BZR cycling team,35,f3f300,111111,dd4b39
C,2,22,HRC,3165,ffffff,000000,fa3636
C,1,19,DIRT,2707,29ec34,563c0f,df6a0d
C,4,19,Team Italy,588,dd4b39,ffffff,00a65a
C,1,17,ZRG,1942,1bc1f1,5b5b5b,1bc1f1
C,1,13,IRL,3369,ffffff,32968e,e66f1a
C,1,13,Fell Swoop,2306,ffa500,000000,
C,1,11,OB&#039;s,3104,df0909,3d8628,eb6f6f
C,1,11,Beet-It,1983,000000,db1c1c,00ff94
C,1,9,SPZ-BMW,2840,ffffff,0073b7,ffffff
C,2,9,YKR,2394,ffff00,0094ff,01b7a8
C,1,7,Vikings,90,c2c2c2,0073b7,ee6331
C,1,6,ADZ,2198,ffffff,c60b1e,ffc400
C,1,3,ZTF,2889,ffffff,0073b7,ffffff
D,18,590,ZRG,1942,1bc1f1,5b5b5b,1bc1f1
D,21,471,BRT,4,ffffff,050505,ff8100
D,5,191,IBTC,2013,ffffff,0073b7,ffffff
D,7,173,STW,756,ffffff,0073b7,ffffff
D,2,84,Race3R,791,000000,2bc3f4,ffffff
D,3,77,BZR cycling team,35,f3f300,111111,dd4b39
D,3,73,Vikings,90,c2c2c2,0073b7,ee6331
D,3,53,Radsport K&ouml;nig,3482,ffffff,0073b7,ffffff
D,1,50,ZHR,1979,ff0000,03228c,03228c
D,3,48,DBR,1986,ffffff,eb7b2a,ffffff
D,2,47,KISS RT,36,f56600,012350,84b7ca
D,1,39,OB&#039;s,3104,df0909,3d8628,eb6f6f
D,1,39,Ruhr-Sued,1912,f3f300,605ca8,00a65a
D,2,36,HIK,719,ffffff,0073b7,ffffff
D,1,33,Equipe JZQc,2571,ffffff,003399,ffffff
D,3,31,Team Poland,25,ffffff,ff1800,ff0000
D,3,31,Lusso CC,3421,f7de00,192169,ffffff
D,1,27,SAS Cycle Club,1348,ffffff,236192,236192
D,1,25,Ilkley CC,398,ffffff,0073b7,ffffff
D,2,23,DIRT,2707,29ec34,563c0f,df6a0d
D,1,19,C100,3437,ffffff,0073b7,ffffff
D,1,17,Club,3,ffffff,0073b7,ffffff
D,2,16,Team CRYO-GEN,2740,ffffff,0073b7,ffffff
D,1,15,TeamODZ,7,ff851b,111111,3c8dbc
D,1,13,Team Italy,588,dd4b39,ffffff,00a65a
D,1,13,UCC,2061,e528ca,ffffff,e5b8df
D,1,11,Beet-It,1983,000000,db1c1c,00ff94
D,1,8,ZESP,2146,000000,fabd00,ad1519
D,1,7,Foudre &#9889;&#65039;,2898,ffffff,81b9e8,ffffff
D,1,6,KirchmairCycling,2991,210606,f2e80d,000103
D,1,4,RuhrRiders,41,ff8700,000000,5cb0fc
D,1,4,Team Ukraine,3062,0000cd,ffd700,0000cd
D,1,4,BSB ,3400,ffffff,1739d1,edfc20
D,1,3,SMCR,3197,ffffff,0073b7,ffffff
