category,zwid,events,points,league_id,pos,history,aid,zada,tname,tc,tbc,tbd,topen,fem,tid,reg,rank,name,flag
B,53773,1,11,59,177,,53773,0," VEGAN ",ffffff,00a65a,0adb2c,,,1845,1,,"Joel Farber Ⓥ",ca
B,76649,1,11,59,177,2,76649,0,CTWT,ffffff,0073b7,ffffff,,,632,1,,"Harm Verhoeven",nl
B,80969,2,11,59,177,,80969,0,,00dd00,,,,,0,1,,"Jason Harris ",gb
B,88534,3,11,59,177,,88534,0,,00dd00,,,,,0,1,,"Amy Johnson",gb
C,105481,1,11,59,77,,105481,0,,00dd00,,,,,0,1,,"Mike Watson",us
B,158623,1,11,59,177,,158623,0,,00dd00,,,,,0,1,,"Andreas Mårtensson",se
B,170575,1,11,59,177,,170575,0,,00dd00,,,,,0,1,,"Colin Smith",
B,182714,1,11,59,177,,182714,0,"TEAM FSK",ffffff,0073b7,ffffff,,,103,1,,"Håvard Eikemo",no
A,189343,1,11,59,78,,189343,0,"Team CRYO-GEN",ffffff,0073b7,ffffff,,,2740,1,,"J. Williams 🐿",gb
C,195916,1,11,59,77,,195916,0,,00dd00,,,,,0,1,,"willard chi",us
B,200018,1,11,59,177,,200018,0,,00dd00,,,,,0,1,,"Chris Pope",gb
A,212081,1,11,59,78,3,212081,0,"CK Lunedi",ffffff,0073b7,ffffff,,,709,1,,"Rikard Runnberg",se
B,241181,1,11,59,177,,241181,0,Race3R,000000,2bc3f4,ffffff,,,791,1,,"Thomas Stocker",de
C,254881,1,11,59,77,3,254881,0,Vikings,c2c2c2,0073b7,ee6331,,,90,1,,"Geir Nicolai Nilsen",no
A,301403,1,11,59,78,,301403,0,,00dd00,,,,,0,1,,"Yuri Hrycaj",ca
A,303556,2,11,59,78,,303556,0,,00dd00,,,,,0,1,,"Martijn Van B Team Maaskant",nl
C,363013,2,11,59,77,,363013,0,,00dd00,,,,,0,1,,"Andreas Sevilä Öberg",se
C,403843,1,11,59,77,,403843,0,,00dd00,,,,,0,1,,"David Creelman",gb-nir
A,407109,1,11,59,78,,407109,0,,00dd00,,,,,0,1,,"Gleb Legostaev",ru
B,417656,1,11,59,177,,417656,0,,00dd00,,,,,0,1,,"Moin Moin",dk
B,437057,1,11,59,177,,437057,0,,00dd00,,,,,0,1,,"Karol Kwapiński",pl
A,448426,1,11,59,78,3,448426,0,"Team Poland",ffffff,dd4b39,ffffff,,,25,1,,"Marc Waldemar [TeamPL] ",pl
A,455884,1,11,59,78,,455884,0,Sz,f3f300,0073b7,f3f300,,,32,1,,"Mattias Lundqvist - Aktivitus Testcenter ",se
D,463582,3,11,59,3,1,463582,0,"Hitchin Nomads",ffffff,0073b7,ffffff,,,2722,1,,"Roger Bamberough ",gb
C,472283,1,11,59,77,,472283,0,,00dd00,,,,,0,1,,"Adrien Fischer",fr
B,479649,1,11,59,177,,479649,0,,00dd00,,,,,0,1,,"Aaron  Demortier",be
B,487042,1,11,59,177,,487042,0,Race3R,000000,2bc3f4,ffffff,,,791,1,,"RICHARD LLOYD  RACEWBR 8687",gb-wls
A,595081,1,11,59,78,1,595081,0,"FUSION ECT",ffffff,000000,ffffff,,,2854,1,,"Claus Nielsen",dk
B,598492,1,11,59,177,,598492,0,,00dd00,,,,,0,1,,"Martin Söderman",se
C,625859,1,11,59,77,3,625859,0,,00dd00,,,,,0,1,,"thomas mccoy TIGR",
A,706590,5,11,59,78,,706590,0,BRT,ffffff,050505,ff8100,,,4,1,,"Dave Dawkins ZHR",gb-eng
B,746846,2,11,59,177,,746846,0,CYCMYTH,ffffff,0073b7,ffffff,,,2807,1,,"Richard Hale (CYCMYTH)",au
C,768587,1,11,59,77,,768587,0,,00dd00,,,,,0,1,,"Nathan Thatcher",us
C,808248,1,11,59,77,,808248,0,BRT,ffffff,050505,ff8100,,,4,1,,"Zack Stewart",gb
A,842789,1,11,59,78,,842789,0,,00dd00,,,,,0,1,,"R S",gb
B,881139,1,11,59,177,,881139,0,"SKLAR ",ffffff,0073b7,ffffff,,,2879,1,,"Geoffrey Nenninger",us
C,882680,1,11,59,77,,882680,0,,00dd00,,,,,0,1,,"Stefan Raff3383",de
B,916152,1,11,59,177,,916152,0,,00dd00,,,,,0,1,,"Daniel Lewis",au
B,919707,1,11,59,177,,919707,0,,00dd00,,,,,0,1,,"Henrik Kücken",dk
B,948448,1,11,59,177,,948448,0,,00dd00,,,,,0,1,,"Andrin Regli",ch
B,59163,1,10,59,196,,59163,0,,00dd00,,,,,0,1,,"Chris Yates",
C,68938,1,10,59,87,3,68938,0,"Team Poland",ffffff,dd4b39,ffffff,,,25,1,,"K Kurylo(Coorylo)",pl
C,106206,2,10,59,87,3,106206,0,,00dd00,,,,,0,1,,"Kristof Novi",zw
A,110385,1,10,59,91,,110385,0,,00dd00,,,,,0,1,,"Per Arvid Gimre",no
C,133654,1,10,59,87,3,133654,0,,00dd00,,,,,0,1,,"☕️ Sony Tandi ☕️",id
A,144703,2,10,59,91,,144703,0,BRT,ffffff,050505,ff8100,,,4,1,,"Scott Mitchell",gb
A,152802,1,10,59,91,,152802,0,BOXFISH,ffffff,0073b7,ffffff,,,2943,1,,"Nigel Clarke 🐡",gb
C,167863,1,10,59,87,,167863,0,TVZT,ffffff,212020,d93838,,,2887,1,,"Philip Gallagher5365",gb-nir
B,189740,1,10,59,196,,189740,0,STW,ffffff,0073b7,ffffff,,,756,1,,"scaredy pants STW",gb
C,208514,1,10,59,87,1,208514,0,Vikings,c2c2c2,0073b7,ee6331,,,90,1,,"Ruben Martinsen",no
B,228675,1,10,59,196,,228675,0,,00dd00,,,,,0,1,,"Bregt Vanbilsen",be
A,251242,1,10,59,91,,251242,0,"FUSION EVO",ffffff,0a1e29,ffffff,,,3185,1,,"Rasmus Hammer",dk
B,257832,1,10,59,196,,257832,0,DBR,ffffff,eb7b2a,ffffff,,,1986,1,,"Karsten Falk DBR",dk
A,288942,1,10,59,91,,288942,0,,00dd00,,,,,0,1,,"Stinky S",us
C,290701,1,10,59,87,,290701,0,,00dd00,,,,,0,1,,"Ben Harris",gb
C,298587,1,10,59,87,,298587,0,,00dd00,,,,,0,1,,"T. Franco - Old and N Pain - C 4999",us
B,317914,1,10,59,196,,317914,0,ZHR,ff0000,03228c,03228c,,,1979,1,,"Steve Mansfield",gb
B,330950,1,10,59,196,,330950,0,CycleChat,ffffff,0073b7,ffffff,,,1458,1,,"Paul Bridgman",gb
C,369058,1,10,59,87,,369058,0,,00dd00,,,,,0,1,,"Mike Taylor",gb-eng
B,380266,1,10,59,196,3,380266,0,,00dd00,,,,,0,1,,"Richard Distad",us
B,401248,1,10,59,196,,401248,0,,00dd00,,,,,0,1,,"Ben Pavey",gb
