category,events,points,tname,tid,tc,tbc,tbd
B,1,41,PTz,1,ffffff,403d3a,e3680f
B,1,41,ZRG,1942,1bc1f1,5b5b5b,1bc1f1
B,1,41,Cyclonauts ,3339,190000,cfcf29,000000
B,1,41,STW,756,ffffff,0073b7,ffffff
B,1,39,TugaZRT,2466,ffffff,ff1f00,33735b
B,1,37,BKRS,2363,ffffff,35b59e,000000
B,1,37,SZR,111,ffffff,0073b7,ffffff
B,1,37,MDCC,843,ffffff,0073b7,ffffff
B,1,35,TSE,2241,ffffff,0073b7,ffffff
B,1,31,FBC RT,3122,ffffff,0073b7,ffffff
B,1,29,MLARC,3393,ffffff,0073b7,e60000
B,1,27,Sz,32,f3f300,0073b7,f3f300
B,1,27,BMPRO,3343,120303,ffff00,2b0a0a
B,1,25,HIK,719,ffffff,0073b7,ffffff
B,1,23,FUSION ECT,2854,ffffff,000000,ffffff
B,1,19,CCC,2930,ffffff,ff0202,000000
B,1,15,CycleChat,1458,ffffff,0073b7,ffffff
B,1,15,VCV,3983,ffffff,0073b7,008444
B,1,10,LAMONT,302,ffffff,0073b7,ffffff
B,1,9,Bigos Amigos,3665,ffffff,0073b7,ffffff
B,1,6,C2C,2832,ffffff,46baf2,ff1e1e
B,1,5,Foudre &#9889;&#65039;,2898,ffffff,81b9e8,ffffff
C,22,635,BRT,4,ffffff,050505,ff8100
C,3,57,Team Poland,25,ffffff,ff1800,ff0000
C,1,50,ZSUN,161,ffffff,0073b7,ffffff
C,2,49,Team Italy,588,dd4b39,ffffff,00a65a
C,3,49,ZRG,1942,1bc1f1,5b5b5b,1bc1f1
C,1,47,STW,756,ffffff,0073b7,ffffff
C,6,45,Hitchin Nomads,2722,ffffff,0073b7,ffffff
C,3,44,DBR,1986,ffffff,eb7b2a,ffffff
C,3,44,Team CRYO-GEN,2740,ffffff,0073b7,ffffff
C,2,40,Ely,3334,ccff00,000000,e60505
C,1,37,Oxford Zwifters,2793,ffffff,e5599a,6f65a5
C,1,35,SthlmCityTri,3319,000000,d9d903,28cf81
C,1,33,WNT Rotor,3954,0055a5,ffffff,0055a5
C,1,31,VC10,2888,ffffff,ff0000,ffffff
C,1,29,SAS Cycle Club,1348,ffffff,236192,236192
C,1,27,BZR cycling team,35,f3f300,111111,dd4b39
C,1,25,Equipe JZQc,2571,ffffff,003399,ffffff
C,1,13,Vikings,90,c2c2c2,0073b7,ee6331
C,1,13,Foudre &#9889;&#65039;,2898,ffffff,81b9e8,ffffff
C,1,11,HachieCycle,2594,4a1919,46b700,1e78cc
C,1,9,GRB17,790,ffffff,0073b7,ffffff
C,1,9,TFC,10,111111,f3f300,111111
C,1,8,ZESP,2146,000000,fabd00,ad1519
C,1,6,Race3R,791,000000,2bc3f4,ffffff
C,1,4,PIK,2746,875151,0073b7,ffffff
C,1,2,ALSACE &#127470;&#127465;,3835,ffffff,0073b7,ffffff
D,12,111,BRT,4,ffffff,050505,ff8100
D,3,29,Team CRYO-GEN,2740,ffffff,0073b7,ffffff
D,2,28,Team Poland,25,ffffff,ff1800,ff0000
D,2,12,Team Italy,588,dd4b39,ffffff,00a65a
D,1,9,TeamNL,2281,ffffff,ffa500,ffa500
D,2,8,Hitchin Nomads,2722,ffffff,0073b7,ffffff
D,1,7,TFC,10,111111,f3f300,111111
D,1,7,ZHR,1979,ff0000,03228c,03228c
