category,events,points,league_id,pos,history,tname,tc,tbc,tbd,tid,rank
A,2,8,59,44,3,"Trondheim Tri",ea1c20,ffffff,090909,2304,
B,1,8,59,67,2,"Zwift Pilipinas",ffffff,64e1f6,000000,2674,
D,2,7,59,3,1,"Belgian Zwift Ri",f3f300,111111,dd4b39,35,
C,1,7,59,28,1,"Team Type 1",ffffff,0073b7,ffffff,168,
B,1,7,59,69,3,"Velocity V/F",7409a6,f79d4b,ffffff,1940,
A,1,7,59,45,2,"Zwift Japan Race",ac1d88,0073b7,cdac1f,2054,
B,1,7,59,69,,"Je Zwift QC",ffffff,003399,ffffff,2571,
D,1,7,59,3,1,"Je Zwift QC",ffffff,003399,ffffff,2571,
B,1,7,59,69,,"DT Rouleurs",ffffff,000000,ff0000,2744,
B,1,7,59,69,3,"Bigfoot Enduranc",ffffff,0073b7,ffffff,2883,
A,1,6,59,46,,"Team Type 1",ffffff,0073b7,ffffff,168,
D,1,6,59,5,1,"Team SUI",ffffff,ff0017,ffffff,391,
A,1,6,59,46,,TOMBC,ffffff,0073b7,ffffff,658,
B,1,6,59,73,,Merkea,ffffff,0073b7,ffffff,755,
A,2,6,59,46,,teamWKG,fa5e06,3f4c54,3f4c54,1330,
A,1,6,59,46,,"Adv For The Cure",ff0000,000000,cc0000,1405,
C,1,6,59,29,,Beet-It,0dfff0,870c0c,8fd6d6,1983,
A,1,6,59,46,1,Cannondale/4iiii,0d0d0d,eef2f5,f27a0b,2105,
C,1,6,59,29,2,"Gillingham Wheel",ffffff,02a1f7,c75454,2783,
B,1,6,59,73,,"Team YYJ Power",ffffff,0d0303,ff0000,2994,
B,1,5,59,75,,TeamPTz,ffffff,403d3a,e3680f,1,
B,1,5,59,75,,MRC,ffffff,0073b7,ffffff,353,
C,1,5,59,31,,"Team Brasil",ffffff,0073b7,ffffff,605,
C,1,5,59,31,,"Team AHDR",fc6955,55d4fc,ffffff,629,
B,1,5,59,75,3,"HPP Racing",ffffff,0073b7,ffffff,1528,
B,1,5,59,75,,WECC,ffffff,fa01ff,2102fe,1992,
D,1,5,59,6,3,"Team Ann Arbor",e2f508,152fba,ffffff,2030,
C,1,5,59,31,,"Racer X cycling",ffffff,b72100,1763d6,2359,
C,1,5,59,31,,"Team ZA Zwifters",0a0606,0073b7,0a0606,2679,
A,1,5,59,51,,"Totis Viribus ZT",ffffff,212020,d93838,2887,
C,1,5,59,31,,3cycles,ffffff,0073b7,ffffff,3128,
D,1,5,59,6,1,"EBS Racing",ffffff,ff2000,000000,3340,
C,1,4,59,36,,SZR,ffffff,0073b7,ffffff,111,
C,1,4,59,36,,Race3R,000000,2bc3f4,ffffff,791,
D,1,4,59,8,1,Race3R,000000,2bc3f4,ffffff,791,
A,1,4,59,52,,MDCC,ffffff,0073b7,ffffff,843,
A,1,4,59,52,,VelociT,ffffff,0073b7,ffffff,1071,
D,1,4,59,8,1,DanishBikeRiders,ffffff,eb7b2a,ffffff,1986,
C,1,4,59,36,,"Malaguetini Cycl",ffffff,0073b7,ffffff,2157,
A,1,4,59,52,3,"Crust Bike Trust",ffffff,000000,ffffff,2349,
D,3,4,59,8,3,"Totis Viribus ZT",ffffff,212020,d93838,2887,
C,2,4,59,36,1,"Foudre ⚡️",ffffff,81b9e8,ffffff,2898,
B,1,4,59,79,,"FUSION EVO",ffffff,0a1e29,ffffff,3185,
B,1,4,59,79,,SpeedVille.de,ffffff,14ba14,ffffff,3190,
B,1,3,59,81,,"Team BDC",fdfdfc,7d7b7b,f38907,2092,
A,1,3,59,55,,"Team Québec",384ce7,fdfeff,2d37d6,2176,
C,1,3,59,40,,"Team Claricoast",ffffff,0067b5,ee611a,2539,
A,1,3,59,55,,"LaPrima Espresso",ffffff,0b1838,ff69b4,2586,
B,1,3,59,81,,"Dutch Diesel Cyc",ffffff,e35221,23398f,2649,
C,1,3,59,40,,CCChambly,53c1e7,000000,0744e0,2975,
D,1,3,59,11,2,"Team EFDV",4d4149,ff68c6,060004,3094,
D,1,2,59,12,3,"Team TFC",111111,f3f300,111111,10,
D,1,2,59,12,2,"Team Poland",ffffff,dd4b39,ffffff,25,
A,1,2,59,57,,"Pedal Racing",ffffff,0073b7,ffffff,189,
B,1,2,59,83,,WattsperKilogram,3acc37,0c181f,1c1010,323,
D,1,2,59,12,2,HIK,ffffff,0073b7,ffffff,719,
D,1,2,59,12,2,TeamEN,ee1d22,ffffff,ee1d22,1384,
D,1,2,59,12,3,"Team Portugal",ffffff,ff1f00,33735b,2466,
A,1,2,59,57,,DIRT,29ec34,563c0f,df6a0d,2707,
D,1,2,59,12,1,"Team CRYO-GEN",ffffff,0073b7,ffffff,2740,
B,1,2,59,83,,"Lidcombe Auburn",ffffff,0073b7,ffffff,2904,
C,1,2,59,42,,"Bikebox Online",ffffff,0073b7,ffffff,2941,
A,1,2,59,57,,"Team Ukraine",0000cd,ffd700,0000cd,3062,
D,1,1,59,18,1,MGCC,ffffff,dd4b39,ffffff,114,
C,1,1,59,43,,RCC,fc2097,d2d6de,111111,265,
C,1,1,59,43,,"Team Italy",dd4b39,ffffff,00a65a,588,
B,1,1,59,85,,TeamEN,ee1d22,ffffff,ee1d22,1384,
C,1,1,59,43,,"Team Fearless",001f3f,39cccc,01ff70,1677,
A,1,1,59,60,,"Racer X cycling",ffffff,b72100,1763d6,2359,
