category,events,points,tname,tid,tc,tbc,tbd,name,flag,zwid,podiums
A,2,17,BRT,4,ffffff,050505,ff8100,Jamie.Smith[B/A] [BRT],gb,401751,
A,1,16,Stages SuperCube,2488,ffffff,0073b7,ffffff,Donny Warbritton,pr,7293,
A,1,16,Team Italy,588,dd4b39,ffffff,00a65a,Alain Torri,it,77917,
A,1,16,Maximus,290,ffffff,0073b7,ffffff,Wouter Eijkman,nl,497779,
A,1,14,Outlaws R T,3308,fff7f7,000000,db1616,Lyndon Thompson (CC),eu,297988,
A,1,14,Race3R,791,000000,2bc3f4,ffffff,Matt  Ray,gb-eng,79930,
A,1,14,BRT,4,ffffff,050505,ff8100,Michael Durr [BRT],gb,74813,
A,2,14,Innovation,975,000000,52ff33,000000,Ed Gurney,gb,171940,
A,1,14,,0,00dd00,,,Mike Lin,us,423572,
A,1,14,Zone5 Racing,415,ffffff,0073b7,ffffff,Cam Candelaria ,us,162661,
A,1,12,Rodeo,761,ffffff,0073b7,ffffff,patrick charles,us,16462,
A,1,12,Race3R,791,000000,2bc3f4,ffffff,Mark Terris ,im,767588,
A,1,12,TeamNL,2281,ffffff,ffa500,ffa500,P. /M. Venderbosch,nl,459674,
A,1,12,,0,00dd00,,,Pawel Cembala3069,pl,1013779,
A,5,12,BRT,4,ffffff,050505,ff8100,Art Pacione [BRT],us,112213,
A,1,12,,0,00dd00,,,Bill Koenig,us,316238,
A,1,12,BRT,4,ffffff,050505,ff8100,Dom Betteridge,gb,53000,
A,1,10,,0,00dd00,,,Andreas Schindler,de,86089,
A,1,10,,0,00dd00,,,Mark Reijerse,nl,298107,
A,1,10,Merkea,755,ffffff,0073b7,ffffff,Gerard CONDOLO,fr,54350,
A,1,10,,0,00dd00,,,Chris Bailey (KTM MTB),gb,64633,
A,1,10,BRT,4,ffffff,050505,ff8100,Alexander Chatzakis [BRT]&#9889;&#65039;| &#127946;&#127997;&zwj;&#128692;&#127997;&zwj;&#127939;&#127997;70.3| &#127475;&#127473;&#127468;&#127479;,nl,496345,
A,1,10,,0,00dd00,,,The Plumber,gb-wls,93036,
A,1,9,CDALECXW,2469,040303,3ffd40,040303,Chandler Delinks,us,475001,
A,2,8,Groove SES,3003,ffffff,0073b7,ffffff,Chuck Coyle,us,388544,bronze
A,1,8,KISS RT,36,f56600,012350,84b7ca,Leah Dixon,gb-wls,686696,
A,1,8,,0,00dd00,,,Andreas Ericson,se,73763,
A,1,8,IRL,3369,ffffff,32968e,e66f1a,Eddie Brennan,ie,13398,
A,1,8,,0,00dd00,,,Will Dixon,gb,170555,
A,1,8,,0,00dd00,,,Bevis Fusha,al,47378,
A,1,7,,0,00dd00,,,Rafa&#322;  Szpakowski,pl,1043576,
A,1,7,Hitchin Nomads,2722,ffffff,0073b7,ffffff,Patrick Maher,gb,40142,
A,1,7,Team Italy,588,dd4b39,ffffff,00a65a,Giorgio Vedovati,it,537191,
A,1,7,,0,00dd00,,,D Adam Quirk,ca,209356,
A,1,7,,0,00dd00,,,Miika Santala,fi,483647,
A,1,6,IBTC,2013,ffffff,0073b7,ffffff,Brett Tremaine,us,38574,
A,1,6,,0,00dd00,,,Kris Loveniers,be,330717,
A,1,6,_OneLove,1915,ffffff,f012be,f012be,Per-Christian Barholm,no,64554,
A,1,6,Sz,32,f3f300,0073b7,f3f300,Daniel Hedn&auml;s,se,200715,
A,1,5,,0,00dd00,,,Wesley Willems,nl,45254,
A,1,5,,0,00dd00,,,Dirk Lukkien,nl,826710,
A,1,5,,0,00dd00,,,Thomas Kaae,dk,700438,
A,1,5,,0,00dd00,,,Pierre Almeida ,fr,1028049,
A,1,5,KirchmairCycling,2991,210606,f2e80d,000103,Andreas Wolf,de,855340,
A,1,5,Essex,3881,ffffff,cf142b,f7e017,Jason Fitchew,gb,51253,
