category,zwid,events,points,league_id,pos,history,aid,zada,tname,tc,tbc,tbd,topen,fem,tid,reg,rank,name,flag
B,832297,1,10,51,55,,832297,0,"Team CLS",3d9970,ffffff,ffffff,,,1426,1,,"Andrew Knight",gb-wls
B,905056,1,10,51,55,,905056,0,,00dd00,,,,,0,1,,"Marco Sauer",de
A,75218,1,9,51,25,,75218,0,Vision,ffffff,2ea9e0,000000,,,9,1,,"Mathieu Drujon 🎩",fr
A,85792,1,9,51,25,,85792,0,"Team CLS",3d9970,ffffff,ffffff,,,1426,1,,"Chris Barnett",au
A,137577,1,9,51,25,1,137577,0,Innovation,ffffff,0073b7,ffffff,,,975,1,,"Sean Vintin",au
A,413575,1,9,51,25,,413575,0,"Team SUI",ffffff,ff0017,ffffff,,,391,1,,"Patrik Walde",ch
B,437090,1,9,51,60,,437090,0,,00dd00,,,,,0,1,,"Simone Borghesi",it
A,715822,2,9,51,25,,715822,0,,00dd00,,,,,0,1,,"koen  ter horst",nl
B,805875,1,9,51,60,,805875,0,,00dd00,,,,,0,1,,"Geir Rasmussen",no
C,861220,1,9,51,5,,861220,0,,00dd00,,,,,0,1,,"R8key R8key",gb
C,917529,1,9,51,5,1,917529,0,,00dd00,,,,,0,1,,"Gerald-Friedrich Uckerz",de
A,48456,1,8,51,30,2,48456,0,"Team X",f5f7f6,111111,00a65a,,,2,1,,"Shawn Gray [X] A1",gb
A,66410,1,8,51,30,,66410,0,,00dd00,,,,,0,1,,"Øystein Løvholt",no
B,154233,1,8,51,62,,154233,0,,00dd00,,,,,0,1,,"Tim Tinus",nl
C,158881,1,8,51,7,1,158881,0,"BZR cycling team",f3f300,111111,dd4b39,,,35,1,,"Mitch Bultinck",be
B,211178,1,8,51,62,,211178,0,"Oroloko Team",ffffff,0073b7,ffffff,,,1892,1,,"Robert Oroloko",pl
B,221451,2,8,51,62,,221451,0,ZHR,ff0000,03228c,03228c,,,1979,1,,"Garry Banks",gb
A,295831,1,8,51,30,,295831,0,Vikings,c2c2c2,0073b7,ee6331,,,90,1,,"Martin Schei Rye XP",no
A,496345,1,8,51,30,,496345,0,BRT,ffffff,050505,ff8100,,,4,1,,"Alexander Chatzakis ⚡️| 🏊🏽‍🚴🏽‍🏃🏽70.3| 🇳🇱🇬🇷",gr
A,500463,1,8,51,30,,500463,0,,00dd00,,,,,0,1,,"Johan Uitt..",nl
C,638556,1,8,51,7,1,638556,0,,00dd00,,,,,0,1,,"Rafael Ferres [ZESP]",es
C,659097,1,8,51,7,,659097,0,SpeedVille.de,ffffff,14ba14,ffffff,,,3190,1,,"Fey Stefan",de
A,771995,1,8,51,30,,771995,0,"FUSION EVO",ffffff,0a1e29,ffffff,,,3185,1,,"Anders Moustgaard",dk
B,832974,1,8,51,62,,832974,0,,00dd00,,,,,0,1,,"Ian McClure",us
